City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Waipawa,NZ,-41.4122,175.5153,53.65,84,67,3.94,broken clouds
210,Zhigansk,RU,66.7697,123.3711,-9.67,97,100,7.61,overcast clouds
211,Hammond,US,41.5834,-87.5,38.12,50,40,8.05,scattered clouds
212,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.92,72,21,9.1,few clouds
213,Kiunga,PG,-6.1219,141.2906,73.33,99,92,0.43,overcast clouds
214,Avera,US,33.194,-82.5271,57.54,32,7,10.27,clear sky
215,Sitka,US,57.0531,-135.33,49.89,81,100,13.8,light rain
216,Hambantota,LK,6.1241,81.1185,77.05,86,100,3.98,light rain
217,Lebu,CL,-37.6167,-73.65,58.48,81,40,12.84,scattered clouds
218,Tyler,US,32.3513,-95.3011,52.7,42,0,5.75,clear sky
219,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,20.71,few clouds
220,Hilton Head Island,US,32.2163,-80.7526,62.98,57,40,11.5,scattered clouds
221,Darhan,MN,49.4867,105.9228,21.24,55,26,4.05,scattered clouds
222,Leningradskiy,RU,69.3833,178.4167,-9.18,98,100,3.49,overcast clouds
223,Itapecerica,BR,-20.4725,-45.1256,84.29,42,99,5.84,overcast clouds
224,Solnechnyy,RU,50.7214,136.6319,15.44,86,5,2.91,clear sky
225,Aguada De Pasajeros,CU,22.385,-80.8508,89.02,46,74,3.04,moderate rain
226,Kintampo,GH,8.0563,-1.7306,80.62,61,85,7.25,overcast clouds
227,Miri,MY,4.4148,114.0089,75.34,100,40,3.44,scattered clouds
228,Oyama,JP,36.3,139.8,63.59,51,11,6.33,few clouds
229,Sambava,MG,-14.2667,50.1667,74.95,82,69,7.67,light rain
230,Batticaloa,LK,7.7102,81.6924,77.36,84,100,2.01,overcast clouds
231,Njombe,TZ,-9.3333,34.7667,61.79,63,69,2.08,broken clouds
232,Waddan,LY,29.1614,16.139,67.51,40,30,4.72,scattered clouds
233,Iqaluit,CA,63.7506,-68.5145,24.53,86,100,8.05,light snow
234,Ponta Do Sol,PT,32.6667,-17.1,72.72,85,90,3.71,overcast clouds
235,Ixtapa,MX,20.7,-105.2,81.63,57,40,6.91,scattered clouds
236,Broome,US,42.2506,-75.833,43.63,71,100,8.05,overcast clouds
237,Saint George,US,37.1041,-113.5841,47.79,48,100,4.61,overcast clouds
238,Coihaique,CL,-45.5752,-72.0662,63.21,51,75,6.55,broken clouds
239,Mwinilunga,ZM,-11.7358,24.4293,63.01,95,100,3.69,overcast clouds
240,Santa,PH,17.486,120.4348,76.21,83,7,5.14,clear sky
241,Madawaska,US,47.3561,-68.3288,39.4,89,100,6.91,overcast clouds
242,Nenjiang,CN,49.1833,125.2167,22.12,56,100,5.88,overcast clouds
243,Hasaki,JP,35.7333,140.8333,58.21,61,94,23.4,overcast clouds
244,Santa Maria,BR,-29.6842,-53.8069,69.3,92,100,11.03,light rain
245,Emba,KZ,48.8264,58.1442,41.54,81,100,20.18,light rain
246,Oranjemund,NA,-28.55,16.4333,61.7,81,4,16.67,clear sky
247,Berlevag,NO,70.8578,29.0864,35.6,80,100,13.8,overcast clouds
248,Hami,CN,42.8,93.45,34.05,47,5,4.29,clear sky
